Timestamp,N1,N2,N3,N4,N5,N6,N7,N8,Q2,Q3,Q4,Q5,Q6,Q7,Q8,S1,S5,S6,S7,T2,V2,V3,V6
2029-07-01T16:00:00,0.3263474657,0.3263474657,0.4277801534,0.3149641999,0.4969495843,0.5837893404,0.4906992672,0.4906992672,0.2520289799,0.1041572546,0.23167536,0.724085409,0.538863884,0.1134520482,0.3444730934,0.6673797691,0.740859524,0.740859524,0.740859524,0.5718897699,0.4041535502,0.5718897699,0.3661885941
2029-07-01T16:30:00,0.0926269089,0.0926269089,0.1447279943,0.0027801051,0.1666488492,0.2226020268,0.0581524505,0.0581524505,0.2491687182,0.1628673122,0.1532614674,0.382649443,0.0733806514,0.0224119937,0.085661919,0.4638608842,0.449004314,0.449004314,0.449004314,0.2479800798,0.4388640451,0.2479800798,0.0786495868
2029-07-01T17:00:00,0.0926269089,0.0926269089,0.1447279943,0.0027801051,0.1666488492,0.2226020268,0.0581524505,0.0581524505,0.2491687182,0.1628673122,0.1532614674,0.382649443,0.0733806514,0.0224119937,0.085661919,0.4638608842,0.449004314,0.449004314,0.449004314,0.2479800798,0.4388640451,0.2479800798,0.0786495868
2029-07-01T17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029-07-01T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029-07-01T18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029-07-01T19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029-07-01T19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029-07-01T20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029-07-01T20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
