ScenarioName,Region,TechID,FYE2015,FYE2016,FYE2017,FYE2018,FYE2019,FYE2020,FYE2025,FYE2030,FYE2035,FYE2040,FYE2045,FYE2050,FYE2055,FYE2060,FYE2070
Scen2_DDC,LV,StSubBrown_Exi,6332.605598,6198.971117,5860.39336,5080,5080,5080,3667.144204,3667.144204,3261.179426,2268.347828,1045.751071,0,0,0,0
Scen2_DDC,MEL,StSubBlack_Exi,137.5888891,137.5888891,137.5888891,137.5888891,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,NVIC,StSubBlack_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,CAN,OCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,NCEN,OCGTg_Exi,774,774,793.5361729,793.5361729,793.5361729,793.5361729,787.758512,743.5361729,743.5361729,743.5361729,0,0,0,0,0
Scen2_DDC,NNS,OCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,SWNSW,OCGTg_Exi,0,0,0,0,0,0,0,0,154.4028154,829.8076592,800.9752504,151.3489919,0,0,0
Scen2_DDC,CQ,OCGTg_Exi,37,37,56.76138349,56.76138349,56.76138349,56.76138349,56.76138349,56.76138349,43.44309524,19.76138349,16.32506282,0,0,0,0
Scen2_DDC,NQ,OCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,SEQ,OCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,SWQ,OCGTg_Exi,1464,1464,1581.702464,1581.702464,1581.702464,1581.702464,1581.702464,1581.702464,1569.974409,1325.656936,948.4191121,0,0,0,0
Scen2_DDC,ADE,OCGTg_Exi,226.4613525,228,80.95946125,79.68728946,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,NSA,OCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,SA,OCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,SESA,OCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,TAS,OCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,CVIC,OCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,LV,OCGTg_Exi,902,902,902,902,682,454,454,454,454,357.5636993,0,0,0,0,0
Scen2_DDC,MEL,OCGTg_Exi,12.81503851,45.81066005,43.4365041,137.5888891,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,NVIC,OCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,CAN,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,NCEN,CCGTg_Exi,620,620,620,460,460,460,460,460,460,460,0,0,0,0,0
Scen2_DDC,NNS,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,SWNSW,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,CQ,CCGTg_Exi,180,180,180,180,180,180,180,180,180,180,49.7761208,0,0,0,0
Scen2_DDC,NQ,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,SEQ,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,SWQ,CCGTg_Exi,770,770,770,770,770,770,770,770,770,770,770,0,0,0,0
Scen2_DDC,ADE,CCGTg_Exi,226.4613525,352.2354427,80.95946125,79.68728946,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,NSA,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,SA,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,SESA,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,TAS,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,CVIC,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,LV,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,MEL,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,NVIC,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
